WaveNumber, DarkFastFast
3.999158e+02,0.000000e+00
4.000363e+02,6.374821e+01
4.001569e+02,6.259614e+01
4.002774e+02,6.178994e+01
4.003979e+02,6.143786e+01
4.005184e+02,6.160338e+01
4.006390e+02,6.225865e+01
4.007595e+02,6.328923e+01
4.008800e+02,6.452762e+01
4.010005e+02,6.580870e+01
4.011211e+02,6.700108e+01
4.012416e+02,6.801132e+01
4.013622e+02,6.879301e+01
4.014827e+02,6.932581e+01
4.016032e+02,6.959875e+01
4.017237e+02,6.959174e+01
4.018443e+02,6.927067e+01
4.019648e+02,6.860100e+01
4.020853e+02,6.757906e+01
4.022058e+02,6.625584e+01
4.023264e+02,6.475496e+01
4.024469e+02,6.323500e+01
4.025674e+02,6.186300e+01
4.026880e+02,6.076744e+01
4.028085e+02,6.002252e+01
4.029290e+02,5.966004e+01
4.030496e+02,5.968273e+01
4.031701e+02,6.006975e+01
4.032906e+02,6.077406e+01
4.034111e+02,6.171777e+01
4.035317e+02,6.280693e+01
4.036522e+02,6.392751e+01
4.037727e+02,6.496871e+01
4.038932e+02,6.583455e+01
4.040138e+02,6.644262e+01
4.041343e+02,6.674563e+01
4.042549e+02,6.674441e+01
4.043754e+02,6.649341e+01
4.044959e+02,6.609087e+01
4.046164e+02,6.566280e+01
4.047370e+02,6.534522e+01
4.048575e+02,6.524966e+01
4.049780e+02,6.546164e+01
4.050985e+02,6.600774e+01
4.052191e+02,6.684898e+01
4.053396e+02,6.787285e+01
4.054601e+02,6.892628e+01
4.055807e+02,6.986254e+01
4.057012e+02,7.056736e+01
4.058217e+02,7.098139e+01
4.059423e+02,7.110134e+01
4.060628e+02,7.096069e+01
4.061833e+02,7.061315e+01
4.063038e+02,7.011249e+01
4.064244e+02,6.951182e+01
4.065449e+02,6.885919e+01
4.066654e+02,6.821029e+01
4.067859e+02,6.764224e+01
4.069065e+02,6.724356e+01
4.070270e+02,6.709694e+01
4.071476e+02,6.724679e+01
4.072681e+02,6.766808e+01
4.073886e+02,6.826441e+01
4.075091e+02,6.888875e+01
4.076297e+02,6.939742e+01
4.077502e+02,6.967356e+01
4.078707e+02,6.966322e+01
4.079912e+02,6.938884e+01
4.081118e+02,6.894196e+01
4.082323e+02,6.845966e+01
4.083528e+02,6.807664e+01
4.084734e+02,6.790863e+01
4.085939e+02,6.802255e+01
4.087144e+02,6.842929e+01
4.088350e+02,6.908113e+01
4.089555e+02,6.987451e+01
4.090760e+02,7.066714e+01
4.091965e+02,7.129666e+01
4.093171e+02,7.163433e+01
4.094376e+02,7.161499e+01
4.095581e+02,7.124976e+01
4.096786e+02,7.062224e+01
4.097992e+02,6.986882e+01
4.099197e+02,6.915482e+01
4.100403e+02,6.862244e+01
4.101608e+02,6.837090e+01
4.102813e+02,6.842992e+01
4.104018e+02,6.875896e+01
4.105224e+02,6.926486e+01
4.106429e+02,6.983186e+01
4.107634e+02,7.035390e+01
4.108839e+02,7.074378e+01
4.110045e+02,7.094607e+01
4.111250e+02,7.093417e+01
4.112455e+02,7.070024e+01
4.113661e+02,7.025439e+01
4.114866e+02,6.962083e+01
4.116071e+02,6.884792e+01
4.117277e+02,6.800610e+01
4.118482e+02,6.718242e+01
4.119687e+02,6.647264e+01
4.120892e+02,6.595492e+01
4.122098e+02,6.567760e+01
4.123303e+02,6.565913e+01
4.124508e+02,6.588760e+01
4.125714e+02,6.632449e+01
4.126919e+02,6.690378e+01
4.128124e+02,6.754283e+01
4.129330e+02,6.814396e+01
4.130535e+02,6.861726e+01
4.131740e+02,6.890761e+01
4.132945e+02,6.900184e+01
4.134151e+02,6.893474e+01
4.135356e+02,6.877586e+01
4.136561e+02,6.860931e+01
4.137766e+02,6.850452e+01
4.138972e+02,6.848923e+01
4.140177e+02,6.854333e+01
4.141382e+02,6.861059e+01
4.142588e+02,6.863353e+01
4.143793e+02,6.857781e+01
4.144998e+02,6.845596e+01
4.146204e+02,6.831895e+01
4.147409e+02,6.823548e+01
4.148614e+02,6.825253e+01
4.149819e+02,6.837573e+01
4.151025e+02,6.855495e+01
4.152230e+02,6.870837e+01
4.153435e+02,6.874425e+01
4.154641e+02,6.859668e+01
4.155846e+02,6.825355e+01
4.157051e+02,6.775996e+01
4.158257e+02,6.719992e+01
4.159462e+02,6.665957e+01
4.160667e+02,6.620567e+01
4.161872e+02,6.586861e+01
4.163078e+02,6.564759e+01
4.164283e+02,6.553020e+01
4.165488e+02,6.550475e+01
4.166693e+02,6.556772e+01
4.167899e+02,6.572243e+01
4.169104e+02,6.597411e+01
4.170309e+02,6.632217e+01
4.171515e+02,6.675713e+01
4.172720e+02,6.725926e+01
4.173925e+02,6.779996e+01
4.175131e+02,6.833762e+01
4.176336e+02,6.882584e+01
4.177541e+02,6.921196e+01
4.178746e+02,6.944574e+01
4.179952e+02,6.948969e+01
4.181157e+02,6.932153e+01
4.182362e+02,6.894418e+01
4.183568e+02,6.838664e+01
4.184773e+02,6.771156e+01
4.185978e+02,6.700563e+01
4.187184e+02,6.635056e+01
4.188389e+02,6.580791e+01
4.189594e+02,6.540226e+01
4.190799e+02,6.513503e+01
4.192005e+02,6.500441e+01
4.193210e+02,6.501714e+01
4.194415e+02,6.518649e+01
4.195620e+02,6.551098e+01
4.196826e+02,6.595003e+01
4.198031e+02,6.641290e+01
4.199236e+02,6.677261e+01
4.200442e+02,6.692218e+01
4.201647e+02,6.681154e+01
4.202852e+02,6.645763e+01
4.204058e+02,6.592447e+01
4.205263e+02,6.529278e+01
4.206468e+02,6.463925e+01
4.207673e+02,6.401743e+01
4.208879e+02,6.346819e+01
4.210084e+02,6.302513e+01
4.211289e+02,6.272150e+01
4.212495e+02,6.260266e+01
4.213700e+02,6.271504e+01
4.214905e+02,6.308648e+01
4.216111e+02,6.370775e+01
4.217316e+02,6.451671e+01
4.218521e+02,6.540991e+01
4.219726e+02,6.625538e+01
4.220932e+02,6.693792e+01
4.222137e+02,6.738400e+01
4.223342e+02,6.757615e+01
4.224547e+02,6.755376e+01
4.225753e+02,6.739719e+01
4.226958e+02,6.720509e+01
4.228163e+02,6.705582e+01
4.229369e+02,6.698856e+01
4.230574e+02,6.699904e+01
4.231779e+02,6.705473e+01
4.232985e+02,6.712051e+01
4.234190e+02,6.717773e+01
4.235395e+02,6.723158e+01
4.236600e+02,6.730003e+01
4.237806e+02,6.740134e+01
4.239011e+02,6.754169e+01
4.240216e+02,6.770938e+01
4.241422e+02,6.787849e+01
4.242627e+02,6.802101e+01
4.243832e+02,6.811617e+01
4.245038e+02,6.816473e+01
4.246243e+02,6.818964e+01
4.247448e+02,6.823420e+01
4.248653e+02,6.834496e+01
4.249859e+02,6.855710e+01
4.251064e+02,6.887794e+01
4.252269e+02,6.927927e+01
4.253474e+02,6.969791e+01
4.254680e+02,7.005180e+01
4.255885e+02,7.027066e+01
4.257090e+02,7.031376e+01
4.258296e+02,7.018214e+01
4.259501e+02,6.991409e+01
4.260706e+02,6.957456e+01
4.261912e+02,6.923725e+01
4.263117e+02,6.896055e+01
4.264322e+02,6.878020e+01
4.265527e+02,6.869699e+01
4.266733e+02,6.868222e+01
4.267938e+02,6.868783e+01
4.269143e+02,6.866568e+01
4.270349e+02,6.858347e+01
4.271554e+02,6.843031e+01
4.272759e+02,6.821903e+01
4.273965e+02,6.797745e+01
4.275170e+02,6.774105e+01
4.276375e+02,6.754080e+01
4.277580e+02,6.739817e+01
4.278786e+02,6.732343e+01
4.279991e+02,6.731441e+01
4.281196e+02,6.735686e+01
4.282401e+02,6.742441e+01
4.283607e+02,6.748433e+01
4.284812e+02,6.749947e+01
4.286017e+02,6.743702e+01
4.287223e+02,6.727910e+01
4.288428e+02,6.702837e+01
4.289633e+02,6.671210e+01
4.290839e+02,6.637531e+01
4.292044e+02,6.607491e+01
4.293249e+02,6.586310e+01
4.294454e+02,6.577348e+01
4.295660e+02,6.581777e+01
4.296865e+02,6.598232e+01
4.298070e+02,6.623580e+01
4.299276e+02,6.653458e+01
4.300481e+02,6.683604e+01
4.301686e+02,6.710683e+01
4.302892e+02,6.732608e+01
4.304097e+02,6.748804e+01
4.305302e+02,6.759753e+01
4.306507e+02,6.766557e+01
4.307713e+02,6.770255e+01
4.308918e+02,6.771789e+01
4.310123e+02,6.771766e+01
4.311328e+02,6.770486e+01
4.312534e+02,6.768210e+01
4.313739e+02,6.765334e+01
4.314944e+02,6.762309e+01
4.316150e+02,6.759841e+01
4.317355e+02,6.758633e+01
4.318560e+02,6.759189e+01
4.319766e+02,6.761691e+01
4.320971e+02,6.765939e+01
4.322176e+02,6.771379e+01
4.323381e+02,6.777307e+01
4.324587e+02,6.783095e+01
4.325792e+02,6.788293e+01
4.326997e+02,6.792525e+01
4.328203e+02,6.795440e+01
4.329408e+02,6.796413e+01
4.330613e+02,6.794669e+01
4.331819e+02,6.789489e+01
4.333024e+02,6.780608e+01
4.334229e+02,6.768588e+01
4.335434e+02,6.754977e+01
4.336640e+02,6.742117e+01
4.337845e+02,6.732671e+01
4.339050e+02,6.728550e+01
4.340255e+02,6.730325e+01
4.341461e+02,6.736770e+01
4.342666e+02,6.745449e+01
4.343871e+02,6.753157e+01
4.345077e+02,6.757316e+01
4.346282e+02,6.756831e+01
4.347487e+02,6.752460e+01
4.348693e+02,6.746598e+01
4.349898e+02,6.742415e+01
4.351103e+02,6.742970e+01
4.352308e+02,6.750002e+01
4.353514e+02,6.763445e+01
4.354719e+02,6.781349e+01
4.355924e+02,6.800480e+01
4.357130e+02,6.816928e+01
4.358335e+02,6.826598e+01
4.359540e+02,6.826486e+01
4.360746e+02,6.815076e+01
4.361951e+02,6.793115e+01
4.363156e+02,6.763337e+01
4.364361e+02,6.730124e+01
4.365567e+02,6.698161e+01
4.366772e+02,6.670966e+01
4.367977e+02,6.650362e+01
4.369182e+02,6.636250e+01
4.370388e+02,6.627177e+01
4.371593e+02,6.621226e+01
4.372798e+02,6.616846e+01
4.374004e+02,6.613400e+01
4.375209e+02,6.611115e+01
4.376414e+02,6.610778e+01
4.377620e+02,6.613176e+01
4.378825e+02,6.618765e+01
4.380030e+02,6.627458e+01
4.381235e+02,6.638881e+01
4.382441e+02,6.652728e+01
4.383646e+02,6.668944e+01
4.384851e+02,6.687612e+01
4.386057e+02,6.708439e+01
4.387262e+02,6.730292e+01
4.388467e+02,6.750896e+01
4.389673e+02,6.767065e+01
4.390878e+02,6.775879e+01
4.392083e+02,6.775530e+01
4.393288e+02,6.766355e+01
4.394494e+02,6.750863e+01
4.395699e+02,6.733324e+01
4.396904e+02,6.718382e+01
4.398109e+02,6.709514e+01
4.399315e+02,6.708350e+01
4.400520e+02,6.714152e+01
4.401725e+02,6.724467e+01
4.402931e+02,6.735923e+01
4.404136e+02,6.745590e+01
4.405341e+02,6.751728e+01
4.406547e+02,6.754024e+01
4.407752e+02,6.753392e+01
4.408957e+02,6.751389e+01
4.410162e+02,6.749561e+01
4.411368e+02,6.748793e+01
4.412573e+02,6.749127e+01
4.413778e+02,6.749767e+01
4.414984e+02,6.749359e+01
4.416189e+02,6.746321e+01
4.417394e+02,6.739329e+01
4.418600e+02,6.727826e+01
4.419805e+02,6.712210e+01
4.421010e+02,6.693974e+01
4.422215e+02,6.675091e+01
4.423421e+02,6.657858e+01
4.424626e+02,6.644097e+01
4.425831e+02,6.634814e+01
4.427036e+02,6.630376e+01
4.428242e+02,6.630708e+01
4.429447e+02,6.635616e+01
4.430652e+02,6.645204e+01
4.431858e+02,6.659780e+01
4.433063e+02,6.679552e+01
4.434268e+02,6.704003e+01
4.435474e+02,6.731618e+01
4.436679e+02,6.759678e+01
4.437884e+02,6.784946e+01
4.439089e+02,6.804836e+01
4.440295e+02,6.818081e+01
4.441500e+02,6.825081e+01
4.442705e+02,6.827393e+01
4.443911e+02,6.826852e+01
4.445116e+02,6.824729e+01
4.446321e+02,6.821192e+01
4.447527e+02,6.815385e+01
4.448732e+02,6.806009e+01
4.449937e+02,6.792236e+01
4.451142e+02,6.774272e+01
4.452348e+02,6.753609e+01
4.453553e+02,6.732545e+01
4.454758e+02,6.713651e+01
4.455963e+02,6.698798e+01
4.457169e+02,6.688877e+01
4.458374e+02,6.683830e+01
4.459579e+02,6.683070e+01
4.460785e+02,6.685947e+01
4.461990e+02,6.691992e+01
4.463195e+02,6.700904e+01
4.464401e+02,6.712250e+01
4.465606e+02,6.725140e+01
4.466811e+02,6.738340e+01
4.468016e+02,6.750485e+01
4.469222e+02,6.760612e+01
4.470427e+02,6.768568e+01
4.471632e+02,6.774918e+01
4.472838e+02,6.780485e+01
4.474043e+02,6.785652e+01
4.475248e+02,6.789890e+01
4.476454e+02,6.791795e+01
4.477659e+02,6.789716e+01
4.478864e+02,6.782546e+01
4.480069e+02,6.770661e+01
4.481275e+02,6.756105e+01
4.482480e+02,6.742329e+01
4.483685e+02,6.732915e+01
4.484890e+02,6.730276e+01
4.486096e+02,6.734857e+01
4.487301e+02,6.744846e+01
4.488506e+02,6.756808e+01
4.489712e+02,6.766628e+01
4.490917e+02,6.771127e+01
4.492122e+02,6.768613e+01
4.493328e+02,6.759405e+01
4.494533e+02,6.745403e+01
4.495738e+02,6.729410e+01
4.496943e+02,6.714226e+01
4.498149e+02,6.701698e+01
4.499354e+02,6.692601e+01
4.500559e+02,6.686452e+01
4.501765e+02,6.681934e+01
4.502970e+02,6.677192e+01
4.504175e+02,6.670538e+01
4.505381e+02,6.660991e+01
4.506586e+02,6.648665e+01
4.507791e+02,6.634885e+01
4.508996e+02,6.621902e+01
4.510202e+02,6.612447e+01
4.511407e+02,6.608628e+01
4.512612e+02,6.611388e+01
4.513817e+02,6.620083e+01
4.515023e+02,6.632771e+01
4.516228e+02,6.646904e+01
4.517433e+02,6.660251e+01
4.518639e+02,6.671769e+01
4.519844e+02,6.681694e+01
4.521049e+02,6.691257e+01
4.522255e+02,6.701750e+01
4.523460e+02,6.713914e+01
4.524665e+02,6.727336e+01
