WaveNumber, DarkFastSlow
3.999158e+02,0.000000e+00
4.000363e+02,6.161591e+01
4.001569e+02,6.167427e+01
4.002774e+02,6.229738e+01
4.003979e+02,6.343441e+01
4.005184e+02,6.486967e+01
4.006390e+02,6.627139e+01
4.007595e+02,6.730623e+01
4.008800e+02,6.770866e+01
4.010005e+02,6.736815e+01
4.011211e+02,6.633975e+01
4.012416e+02,6.483385e+01
4.013622e+02,6.314844e+01
4.014827e+02,6.157632e+01
4.016032e+02,6.033627e+01
4.017237e+02,5.950354e+01
4.018443e+02,5.904074e+01
4.019648e+02,5.883699e+01
4.020853e+02,5.877554e+01
4.022058e+02,5.876433e+01
4.023264e+02,5.875459e+01
4.024469e+02,5.873255e+01
4.025674e+02,5.870136e+01
4.026880e+02,5.865972e+01
4.028085e+02,5.859945e+01
4.029290e+02,5.851328e+01
4.030496e+02,5.840565e+01
4.031701e+02,5.829682e+01
4.032906e+02,5.822016e+01
4.034111e+02,5.820384e+01
4.035317e+02,5.825954e+01
4.036522e+02,5.837709e+01
4.037727e+02,5.853013e+01
4.038932e+02,5.869333e+01
4.040138e+02,5.884967e+01
4.041343e+02,5.899448e+01
4.042549e+02,5.913194e+01
4.043754e+02,5.926575e+01
4.044959e+02,5.939130e+01
4.046164e+02,5.949454e+01
4.047370e+02,5.955980e+01
4.048575e+02,5.957182e+01
4.049780e+02,5.952338e+01
4.050985e+02,5.940916e+01
4.052191e+02,5.922615e+01
4.053396e+02,5.897173e+01
4.054601e+02,5.865363e+01
4.055807e+02,5.829782e+01
4.057012e+02,5.796386e+01
4.058217e+02,5.774281e+01
4.059423e+02,5.773427e+01
4.060628e+02,5.802488e+01
4.061833e+02,5.864679e+01
4.063038e+02,5.955946e+01
4.064244e+02,6.065214e+01
4.065449e+02,6.177880e+01
4.066654e+02,6.279919e+01
4.067859e+02,6.360136e+01
4.069065e+02,6.413576e+01
4.070270e+02,6.440889e+01
4.071476e+02,6.447326e+01
4.072681e+02,6.439175e+01
4.073886e+02,6.421451e+01
4.075091e+02,6.397001e+01
4.076297e+02,6.367078e+01
4.077502e+02,6.333606e+01
4.078707e+02,6.300892e+01
4.079912e+02,6.275422e+01
4.081118e+02,6.264751e+01
4.082323e+02,6.275049e+01
4.083528e+02,6.308681e+01
4.084734e+02,6.364220e+01
4.085939e+02,6.436777e+01
4.087144e+02,6.519312e+01
4.088350e+02,6.601956e+01
4.089555e+02,6.673204e+01
4.090760e+02,6.721114e+01
4.091965e+02,6.734198e+01
4.093171e+02,6.705791e+01
4.094376e+02,6.635722e+01
4.095581e+02,6.531643e+01
4.096786e+02,6.407687e+01
4.097992e+02,6.282514e+01
4.099197e+02,6.175816e+01
4.100403e+02,6.101720e+01
4.101608e+02,6.066110e+01
