WaveNumber, DarkSlowFast
3.999158e+02,0.000000e+00
4.000363e+02,5.298353e+01
4.001569e+02,5.198943e+01
4.002774e+02,5.207903e+01
4.003979e+02,5.336253e+01
4.005184e+02,5.566277e+01
4.006390e+02,5.853344e+01
4.007595e+02,6.144351e+01
4.008800e+02,6.389433e+01
4.010005e+02,6.556954e+01
4.011211e+02,6.635759e+01
4.012416e+02,6.632274e+01
4.013622e+02,6.565590e+01
4.014827e+02,6.460178e+01
4.016032e+02,6.339496e+01
4.017237e+02,6.218803e+01
4.018443e+02,6.105909e+01
4.019648e+02,6.003228e+01
4.020853e+02,5.910476e+01
4.022058e+02,5.827250e+01
4.023264e+02,5.753511e+01
4.024469e+02,5.688791e+01
4.025674e+02,5.632292e+01
4.026880e+02,5.583178e+01
4.028085e+02,5.541771e+01
4.029290e+02,5.510994e+01
4.030496e+02,5.496035e+01
4.031701e+02,5.502197e+01
4.032906e+02,5.533383e+01
4.034111e+02,5.589671e+01
4.035317e+02,5.667365e+01
4.036522e+02,5.760365e+01
4.037727e+02,5.862256e+01
4.038932e+02,5.966946e+01
4.040138e+02,6.067590e+01
4.041343e+02,6.156525e+01
4.042549e+02,6.224928e+01
4.043754e+02,6.264995e+01
4.044959e+02,6.273250e+01
4.046164e+02,6.252186e+01
4.047370e+02,6.211051e+01
4.048575e+02,6.162475e+01
4.049780e+02,6.120064e+01
4.050985e+02,6.093286e+01
4.052191e+02,6.084031e+01
4.053396e+02,6.085481e+01
4.054601e+02,6.086031e+01
4.055807e+02,6.075711e+01
4.057012e+02,6.050732e+01
4.058217e+02,6.015966e+01
4.059423e+02,5.982043e+01
4.060628e+02,5.960582e+01
4.061833e+02,5.957795e+01
4.063038e+02,5.971755e+01
4.064244e+02,5.993092e+01
4.065449e+02,6.009908e+01
4.066654e+02,6.014000e+01
4.067859e+02,6.004076e+01
4.069065e+02,5.986880e+01
4.070270e+02,5.973610e+01
4.071476e+02,5.973951e+01
4.072681e+02,5.989849e+01
4.073886e+02,6.014592e+01
4.075091e+02,6.035841e+01
4.076297e+02,6.043273e+01
4.077502e+02,6.033220e+01
4.078707e+02,6.012084e+01
4.079912e+02,5.993264e+01
4.081118e+02,5.992927e+01
4.082323e+02,6.022279e+01
4.083528e+02,6.082648e+01
4.084734e+02,6.165347e+01
4.085939e+02,6.254705e+01
4.087144e+02,6.333721e+01
4.088350e+02,6.386613e+01
4.089555e+02,6.403774e+01
4.090760e+02,6.383335e+01
4.091965e+02,6.331137e+01
4.093171e+02,6.258995e+01
4.094376e+02,6.181377e+01
4.095581e+02,6.113548e+01
4.096786e+02,6.067703e+01
4.097992e+02,6.051621e+01
4.099197e+02,6.066228e+01
4.100403e+02,6.104696e+01
4.101608e+02,6.152332e+01
4.102813e+02,6.189870e+01
4.104018e+02,6.200574e+01
4.105224e+02,6.174247e+01
4.106429e+02,6.111907e+01
4.107634e+02,6.024947e+01
4.108839e+02,5.932334e+01
4.110045e+02,5.853478e+01
4.111250e+02,5.801674e+01
4.112455e+02,5.782269e+01
4.113661e+02,5.792163e+01
4.114866e+02,5.823661e+01
4.116071e+02,5.867289e+01
4.117277e+02,5.915131e+01
4.118482e+02,5.962104e+01
4.119687e+02,6.004963e+01
4.120892e+02,6.041619e+01
4.122098e+02,6.070310e+01
4.123303e+02,6.089426e+01
4.124508e+02,6.098283e+01
4.125714e+02,6.098119e+01
4.126919e+02,6.092407e+01
4.128124e+02,6.085707e+01
4.129330e+02,6.082830e+01
4.130535e+02,6.087066e+01
4.131740e+02,6.099261e+01
4.132945e+02,6.118824e+01
4.134151e+02,6.144347e+01
4.135356e+02,6.174517e+01
4.136561e+02,6.207841e+01
4.137766e+02,6.241916e+01
4.138972e+02,6.272491e+01
4.140177e+02,6.293176e+01
4.141382e+02,6.296966e+01
4.142588e+02,6.278484e+01
4.143793e+02,6.235976e+01
4.144998e+02,6.172876e+01
4.146204e+02,6.097052e+01
4.147409e+02,6.019713e+01
4.148614e+02,5.951461e+01
4.149819e+02,5.900245e+01
4.151025e+02,5.870044e+01
4.152230e+02,5.860949e+01
4.153435e+02,5.870211e+01
4.154641e+02,5.893573e+01
4.155846e+02,5.926242e+01
4.157051e+02,5.962576e+01
4.158257e+02,5.996383e+01
4.159462e+02,6.022209e+01
