WaveNumber, DarkSlowSlow
3.999158e+02,0.000000e+00
4.000363e+02,6.048308e+01
4.001569e+02,6.002080e+01
4.002774e+02,5.985807e+01
4.003979e+02,6.000406e+01
4.005184e+02,6.043370e+01
4.006390e+02,6.107671e+01
4.007595e+02,6.184176e+01
4.008800e+02,6.263298e+01
4.010005e+02,6.337807e+01
4.011211e+02,6.402853e+01
4.012416e+02,6.455175e+01
4.013622e+02,6.492593e+01
4.014827e+02,6.513264e+01
4.016032e+02,6.515910e+01
4.017237e+02,6.500294e+01
4.018443e+02,6.468518e+01
4.019648e+02,6.425769e+01
4.020853e+02,6.379949e+01
4.022058e+02,6.340680e+01
4.023264e+02,6.315928e+01
4.024469e+02,6.308375e+01
4.025674e+02,6.314164e+01
4.026880e+02,6.323552e+01
4.028085e+02,6.325399e+01
4.029290e+02,6.310258e+01
4.030496e+02,6.274272e+01
4.031701e+02,6.220810e+01
4.032906e+02,6.160102e+01
4.034111e+02,6.105923e+01
4.035317e+02,6.070449e+01
4.036522e+02,6.061902e+01
4.037727e+02,6.081386e+01
4.038932e+02,6.123829e+01
4.040138e+02,6.177992e+01
4.041343e+02,6.229647e+01
4.042549e+02,6.264546e+01
4.043754e+02,6.271666e+01
4.044959e+02,6.247159e+01
4.046164e+02,6.194975e+01
4.047370e+02,6.126023e+01
4.048575e+02,6.054135e+01
4.049780e+02,5.994656e+01
4.050985e+02,5.959812e+01
4.052191e+02,5.955024e+01
4.053396e+02,5.977859e+01
4.054601e+02,6.019157e+01
4.055807e+02,6.067638e+01
4.057012e+02,6.113615e+01
4.058217e+02,6.152289e+01
4.059423e+02,6.183715e+01
4.060628e+02,6.210538e+01
4.061833e+02,6.235262e+01
4.063038e+02,6.258018e+01
4.064244e+02,6.276270e+01
4.065449e+02,6.286325e+01
4.066654e+02,6.285561e+01
4.067859e+02,6.274900e+01
4.069065e+02,6.259606e+01
4.070270e+02,6.248559e+01
4.071476e+02,6.251789e+01
4.072681e+02,6.275875e+01
4.073886e+02,6.321748e+01
4.075091e+02,6.383995e+01
4.076297e+02,6.453088e+01
4.077502e+02,6.516807e+01
4.078707e+02,6.563371e+01
4.079912e+02,6.584729e+01
4.081118e+02,6.577350e+01
4.082323e+02,6.544480e+01
4.083528e+02,6.494248e+01
4.084734e+02,6.438629e+01
4.085939e+02,6.389904e+01
4.087144e+02,6.357536e+01
4.088350e+02,6.346692e+01
4.089555e+02,6.356152e+01
4.090760e+02,6.378886e+01
4.091965e+02,6.403872e+01
4.093171e+02,6.421313e+01
4.094376e+02,6.425913e+01
4.095581e+02,6.418919e+01
4.096786e+02,6.406859e+01
4.097992e+02,6.398693e+01
4.099197e+02,6.402047e+01
4.100403e+02,6.419569e+01
4.101608e+02,6.447827e+01
4.102813e+02,6.478420e+01
4.104018e+02,6.502222e+01
4.105224e+02,6.512144e+01
4.106429e+02,6.506150e+01
4.107634e+02,6.486794e+01
4.108839e+02,6.459216e+01
4.110045e+02,6.427690e+01
4.111250e+02,6.393324e+01
4.112455e+02,6.353754e+01
4.113661e+02,6.305019e+01
4.114866e+02,6.244413e+01
4.116071e+02,6.172758e+01
4.117277e+02,6.095395e+01
4.118482e+02,6.020684e+01
4.119687e+02,5.957908e+01
4.120892e+02,5.913466e+01
4.122098e+02,5.889920e+01
4.123303e+02,5.886340e+01
4.124508e+02,5.900023e+01
4.125714e+02,5.927762e+01
4.126919e+02,5.966042e+01
4.128124e+02,6.010969e+01
4.129330e+02,6.057232e+01
4.130535e+02,6.098504e+01
4.131740e+02,6.129323e+01
4.132945e+02,6.146531e+01
4.134151e+02,6.150958e+01
4.135356e+02,6.147516e+01
4.136561e+02,6.144269e+01
4.137766e+02,6.149222e+01
4.138972e+02,6.167014e+01
4.140177e+02,6.197114e+01
4.141382e+02,6.233553e+01
4.142588e+02,6.267941e+01
4.143793e+02,6.292099e+01
4.144998e+02,6.301436e+01
4.146204e+02,6.295755e+01
4.147409e+02,6.278201e+01
4.148614e+02,6.253284e+01
4.149819e+02,6.224733e+01
4.151025e+02,6.194594e+01
4.152230e+02,6.163411e+01
4.153435e+02,6.131894e+01
4.154641e+02,6.102319e+01
4.155846e+02,6.078807e+01
4.157051e+02,6.066827e+01
4.158257e+02,6.070831e+01
4.159462e+02,6.092280e+01
4.160667e+02,6.129324e+01
4.161872e+02,6.177433e+01
4.163078e+02,6.231187e+01
4.164283e+02,6.285255e+01
4.165488e+02,6.335546e+01
4.166693e+02,6.379243e+01
4.167899e+02,6.414420e+01
4.169104e+02,6.439954e+01
4.170309e+02,6.455273e+01
4.171515e+02,6.460509e+01
4.172720e+02,6.456878e+01
4.173925e+02,6.446726e+01
4.175131e+02,6.433452e+01
4.176336e+02,6.420262e+01
4.177541e+02,6.408855e+01
4.178746e+02,6.398365e+01
4.179952e+02,6.385231e+01
4.181157e+02,6.363919e+01
