WaveNumber, LightFastFast
3.999158e+02,0.000000e+00
4.000363e+02,6.448294e+01
4.001569e+02,6.304417e+01
4.002774e+02,6.154817e+01
4.003979e+02,6.032308e+01
4.005184e+02,5.967119e+01
4.006390e+02,5.974718e+01
4.007595e+02,6.053956e+01
4.008800e+02,6.191072e+01
4.010005e+02,6.364977e+01
4.011211e+02,6.551612e+01
4.012416e+02,6.723882e+01
4.013622e+02,6.858173e+01
4.014827e+02,6.938872e+01
4.016032e+02,6.961452e+01
4.017237e+02,6.934169e+01
4.018443e+02,6.874699e+01
4.019648e+02,6.806131e+01
4.020853e+02,6.748414e+01
4.022058e+02,6.714275e+01
4.023264e+02,6.703231e+01
4.024469e+02,6.702914e+01
4.025674e+02,6.693773e+01
4.026880e+02,6.658453e+01
4.028085e+02,6.589049e+01
4.029290e+02,6.488863e+01
4.030496e+02,6.371236e+01
4.031701e+02,6.253921e+01
4.032906e+02,6.155283e+01
4.034111e+02,6.086824e+01
4.035317e+02,6.050343e+01
4.036522e+02,6.039769e+01
4.037727e+02,6.045635e+01
4.038932e+02,6.059736e+01
4.040138e+02,6.075905e+01
4.041343e+02,6.089635e+01
4.042549e+02,6.095371e+01
4.043754e+02,6.084831e+01
4.044959e+02,6.049635e+01
4.046164e+02,5.984225e+01
4.047370e+02,5.890893e+01
4.048575e+02,5.780936e+01
4.049780e+02,5.673251e+01
4.050985e+02,5.589377e+01
4.052191e+02,5.545634e+01
4.053396e+02,5.551197e+01
4.054601e+02,5.606391e+01
4.055807e+02,5.705748e+01
4.057012e+02,5.840831e+01
4.058217e+02,6.002559e+01
4.059423e+02,6.181720e+01
4.060628e+02,6.365745e+01
4.061833e+02,6.538818e+01
4.063038e+02,6.684016e+01
4.064244e+02,6.786414e+01
4.065449e+02,6.839432e+01
4.066654e+02,6.847281e+01
4.067859e+02,6.824329e+01
4.069065e+02,6.789569e+01
4.070270e+02,6.760634e+01
4.071476e+02,6.748067e+01
4.072681e+02,6.751187e+01
4.073886e+02,6.760574e+01
4.075091e+02,6.762894e+01
4.076297e+02,6.748502e+01
4.077502e+02,6.714885e+01
4.078707e+02,6.667261e+01
4.079912e+02,6.614364e+01
4.081118e+02,6.564549e+01
4.082323e+02,6.521459e+01
4.083528e+02,6.483724e+01
4.084734e+02,6.447646e+01
4.085939e+02,6.411523e+01
4.087144e+02,6.377601e+01
4.088350e+02,6.352164e+01
4.089555e+02,6.341984e+01
4.090760e+02,6.349842e+01
4.091965e+02,6.372117e+01
4.093171e+02,6.399750e+01
4.094376e+02,6.421742e+01
4.095581e+02,6.429927e+01
4.096786e+02,6.422742e+01
4.097992e+02,6.405373e+01
4.099197e+02,6.387363e+01
4.100403e+02,6.377502e+01
4.101608e+02,6.380115e+01
4.102813e+02,6.394088e+01
4.104018e+02,6.414934e+01
4.105224e+02,6.438826e+01
4.106429e+02,6.465778e+01
4.107634e+02,6.499910e+01
4.108839e+02,6.546523e+01
4.110045e+02,6.607477e+01
4.111250e+02,6.677793e+01
4.112455e+02,6.744679e+01
4.113661e+02,6.791768e+01
4.114866e+02,6.806275e+01
4.116071e+02,6.783537e+01
4.117277e+02,6.730223e+01
4.118482e+02,6.661071e+01
4.119687e+02,6.593597e+01
4.120892e+02,6.540704e+01
4.122098e+02,6.507797e+01
4.123303e+02,6.493238e+01
4.124508e+02,6.491739e+01
4.125714e+02,6.498263e+01
4.126919e+02,6.510534e+01
4.128124e+02,6.529333e+01
4.129330e+02,6.556659e+01
4.130535e+02,6.593045e+01
