WaveNumber, LightFastSlow
3.999158e+02,0.000000e+00
4.000363e+02,7.313080e+01
4.001569e+02,7.391779e+01
4.002774e+02,7.427415e+01
4.003979e+02,7.412888e+01
4.005184e+02,7.354765e+01
4.006390e+02,7.268661e+01
4.007595e+02,7.170766e+01
4.008800e+02,7.073622e+01
4.010005e+02,6.984657e+01
4.011211e+02,6.908148e+01
4.012416e+02,6.848196e+01
4.013622e+02,6.808347e+01
4.014827e+02,6.790638e+01
4.016032e+02,6.794125e+01
4.017237e+02,6.814297e+01
4.018443e+02,6.843197e+01
4.019648e+02,6.870977e+01
4.020853e+02,6.888152e+01
4.022058e+02,6.888140e+01
4.023264e+02,6.869074e+01
4.024469e+02,6.834618e+01
4.025674e+02,6.792272e+01
4.026880e+02,6.750854e+01
4.028085e+02,6.716703e+01
4.029290e+02,6.693637e+01
4.030496e+02,6.682130e+01
4.031701e+02,6.679986e+01
4.032906e+02,6.683184e+01
4.034111e+02,6.687693e+01
4.035317e+02,6.691130e+01
4.036522e+02,6.694076e+01
4.037727e+02,6.699855e+01
4.038932e+02,6.713058e+01
4.040138e+02,6.737285e+01
4.041343e+02,6.772511e+01
4.042549e+02,6.813024e+01
4.043754e+02,6.847057e+01
4.044959e+02,6.860737e+01
4.046164e+02,6.841920e+01
4.047370e+02,6.785982e+01
4.048575e+02,6.698754e+01
4.049780e+02,6.595906e+01
4.050985e+02,6.499675e+01
4.052191e+02,6.430694e+01
4.053396e+02,6.405174e+01
4.054601e+02,6.430170e+01
4.055807e+02,6.503687e+01
4.057012e+02,6.615654e+01
4.058217e+02,6.750111e+01
4.059423e+02,6.888840e+01
4.060628e+02,7.011110e+01
4.061833e+02,7.098832e+01
4.063038e+02,7.140598e+01
4.064244e+02,7.133768e+01
4.065449e+02,7.086064e+01
4.066654e+02,7.012916e+01
4.067859e+02,6.934910e+01
4.069065e+02,6.871716e+01
4.070270e+02,6.838615e+01
4.071476e+02,6.843153e+01
4.072681e+02,6.882839e+01
4.073886e+02,6.946909e+01
4.075091e+02,7.019247e+01
4.076297e+02,7.084739e+01
4.077502e+02,7.131469e+01
4.078707e+02,7.153146e+01
4.079912e+02,7.149453e+01
4.081118e+02,7.124516e+01
4.082323e+02,7.084862e+01
4.083528e+02,7.036943e+01
4.084734e+02,6.986351e+01
4.085939e+02,6.936961e+01
4.087144e+02,6.890733e+01
4.088350e+02,6.848846e+01
4.089555e+02,6.811711e+01
4.090760e+02,6.779688e+01
4.091965e+02,6.753867e+01
4.093171e+02,6.736493e+01
4.094376e+02,6.731382e+01
4.095581e+02,6.743961e+01
4.096786e+02,6.778989e+01
4.097992e+02,6.839034e+01
4.099197e+02,6.921688e+01
4.100403e+02,7.019107e+01
4.101608e+02,7.118343e+01
4.102813e+02,7.205559e+01
4.104018e+02,7.270948e+01
4.105224e+02,7.311395e+01
4.106429e+02,7.331038e+01
4.107634e+02,7.338400e+01
4.108839e+02,7.342846e+01
4.110045e+02,7.349831e+01
4.111250e+02,7.358076e+01
4.112455e+02,7.359988e+01
4.113661e+02,7.344932e+01
4.114866e+02,7.305054e+01
4.116071e+02,7.238912e+01
4.117277e+02,7.153933e+01
4.118482e+02,7.063486e+01
4.119687e+02,6.983074e+01
4.120892e+02,6.923560e+01
4.122098e+02,6.888358e+01
4.123303e+02,6.872957e+01
4.124508e+02,6.867786e+01
4.125714e+02,6.861598e+01
4.126919e+02,6.845643e+01
4.128124e+02,6.816891e+01
4.129330e+02,6.778596e+01
4.130535e+02,6.739026e+01
4.131740e+02,6.707953e+01
4.132945e+02,6.694700e+01
4.134151e+02,6.705511e+01
4.135356e+02,6.742027e+01
4.136561e+02,6.801084e+01
4.137766e+02,6.874515e+01
4.138972e+02,6.951307e+01
4.140177e+02,7.018940e+01
4.141382e+02,7.068180e+01
4.142588e+02,7.095311e+01
4.143793e+02,7.103355e+01
4.144998e+02,7.100920e+01
4.146204e+02,7.099500e+01
4.147409e+02,7.110636e+01
4.148614e+02,7.141586e+01
4.149819e+02,7.193525e+01
4.151025e+02,7.260889e+01
4.152230e+02,7.333466e+01
4.153435e+02,7.398512e+01
4.154641e+02,7.444269e+01
4.155846e+02,7.464069e+01
4.157051e+02,7.457084e+01
4.158257e+02,7.429059e+01
4.159462e+02,7.389477e+01
4.160667e+02,7.349076e+01
4.161872e+02,7.316096e+01
4.163078e+02,7.293904e+01
4.164283e+02,7.280892e+01
4.165488e+02,7.271231e+01
4.166693e+02,7.257619e+01
4.167899e+02,7.233220e+01
4.169104e+02,7.194655e+01
4.170309e+02,7.142828e+01
4.171515e+02,7.082822e+01
4.172720e+02,7.022105e+01
4.173925e+02,6.969115e+01
4.175131e+02,6.931584e+01
4.176336e+02,6.914157e+01
4.177541e+02,6.918103e+01
4.178746e+02,6.941292e+01
4.179952e+02,6.979867e+01
4.181157e+02,7.028976e+01
4.182362e+02,7.083344e+01
