WaveNumber, LightSlowFast
3.999158e+02,0.000000e+00
4.000363e+02,5.663810e+01
4.001569e+02,5.851716e+01
4.002774e+02,6.030185e+01
4.003979e+02,6.173318e+01
4.005184e+02,6.262205e+01
4.006390e+02,6.290152e+01
4.007595e+02,6.260919e+01
4.008800e+02,6.185075e+01
4.010005e+02,6.077712e+01
4.011211e+02,5.957193e+01
4.012416e+02,5.845299e+01
4.013622e+02,5.762439e+01
4.014827e+02,5.723169e+01
4.016032e+02,5.733556e+01
4.017237e+02,5.789564e+01
4.018443e+02,5.879573e+01
4.019648e+02,5.986227e+01
4.020853e+02,6.090781e+01
4.022058e+02,6.174358e+01
4.023264e+02,6.221954e+01
4.024469e+02,6.226835e+01
4.025674e+02,6.191864e+01
4.026880e+02,6.128356e+01
4.028085e+02,6.051242e+01
4.029290e+02,5.976722e+01
4.030496e+02,5.918017e+01
4.031701e+02,5.881993e+01
4.032906e+02,5.868625e+01
4.034111e+02,5.870667e+01
4.035317e+02,5.878180e+01
4.036522e+02,5.883176e+01
4.037727e+02,5.884416e+01
4.038932e+02,5.887572e+01
4.040138e+02,5.902539e+01
4.041343e+02,5.936761e+01
4.042549e+02,5.989884e+01
4.043754e+02,6.049532e+01
4.044959e+02,6.094815e+01
4.046164e+02,6.102332e+01
4.047370e+02,6.056195e+01
4.048575e+02,5.956171e+01
4.049780e+02,5.818638e+01
4.050985e+02,5.672359e+01
4.052191e+02,5.546807e+01
4.053396e+02,5.466511e+01
4.054601e+02,5.443913e+01
4.055807e+02,5.478672e+01
4.057012e+02,5.560529e+01
4.058217e+02,5.672451e+01
4.059423e+02,5.794994e+01
4.060628e+02,5.906303e+01
4.061833e+02,5.986819e+01
4.063038e+02,6.023210e+01
4.064244e+02,6.011312e+01
4.065449e+02,5.959095e+01
4.066654e+02,5.884839e+01
4.067859e+02,5.814897e+01
4.069065e+02,5.774666e+01
4.070270e+02,5.782864e+01
4.071476e+02,5.845208e+01
4.072681e+02,5.952144e+01
4.073886e+02,6.082642e+01
4.075091e+02,6.211393e+01
4.076297e+02,6.319291e+01
4.077502e+02,6.396483e+01
4.078707e+02,6.443156e+01
4.079912e+02,6.465218e+01
4.081118e+02,6.469242e+01
4.082323e+02,6.458064e+01
4.083528e+02,6.430461e+01
4.084734e+02,6.383929e+01
4.085939e+02,6.319197e+01
4.087144e+02,6.242610e+01
4.088350e+02,6.166949e+01
4.089555e+02,6.107308e+01
4.090760e+02,6.075358e+01
4.091965e+02,6.075947e+01
4.093171e+02,6.104885e+01
4.094376e+02,6.152154e+01
4.095581e+02,6.206217e+01
4.096786e+02,6.259331e+01
4.097992e+02,6.308914e+01
4.099197e+02,6.356783e+01
4.100403e+02,6.405859e+01
4.101608e+02,6.457030e+01
4.102813e+02,6.507610e+01
4.104018e+02,6.552531e+01
4.105224e+02,6.586758e+01
4.106429e+02,6.607709e+01
4.107634e+02,6.615959e+01
4.108839e+02,6.613754e+01
4.110045e+02,6.602673e+01
4.111250e+02,6.581882e+01
4.112455e+02,6.548297e+01
4.113661e+02,6.499274e+01
4.114866e+02,6.435916e+01
4.116071e+02,6.365181e+01
4.117277e+02,6.298287e+01
4.118482e+02,6.246340e+01
4.119687e+02,6.215214e+01
4.120892e+02,6.202207e+01
4.122098e+02,6.196675e+01
4.123303e+02,6.184184e+01
4.124508e+02,6.153439e+01
4.125714e+02,6.100910e+01
4.126919e+02,6.033104e+01
4.128124e+02,5.963668e+01
4.129330e+02,5.908910e+01
4.130535e+02,5.881289e+01
4.131740e+02,5.885025e+01
4.132945e+02,5.917144e+01
4.134151e+02,5.969812e+01
4.135356e+02,6.034557e+01
4.136561e+02,6.103474e+01
4.137766e+02,6.170489e+01
4.138972e+02,6.230587e+01
4.140177e+02,6.278708e+01
4.141382e+02,6.310535e+01
4.142588e+02,6.323967e+01
4.143793e+02,6.321176e+01
4.144998e+02,6.309472e+01
4.146204e+02,6.300106e+01
4.147409e+02,6.305936e+01
4.148614e+02,6.335754e+01
4.149819e+02,6.391451e+01
4.151025e+02,6.466312e+01
4.152230e+02,6.547834e+01
4.153435e+02,6.620992e+01
4.154641e+02,6.673390e+01
4.155846e+02,6.699622e+01
4.157051e+02,6.701310e+01
4.158257e+02,6.685512e+01
4.159462e+02,6.660497e+01
4.160667e+02,6.632375e+01
4.161872e+02,6.603143e+01
4.163078e+02,6.571449e+01
4.164283e+02,6.534847e+01
4.165488e+02,6.492400e+01
4.166693e+02,6.445985e+01
4.167899e+02,6.400218e+01
4.169104e+02,6.360585e+01
4.170309e+02,6.331701e+01
4.171515e+02,6.316462e+01
4.172720e+02,6.315392e+01
4.173925e+02,6.327198e+01
4.175131e+02,6.349247e+01
4.176336e+02,6.378115e+01
4.177541e+02,6.409988e+01
4.178746e+02,6.441113e+01
4.179952e+02,6.468752e+01
4.181157e+02,6.491371e+01
4.182362e+02,6.509080e+01
4.183568e+02,6.523079e+01
4.184773e+02,6.535145e+01
4.185978e+02,6.546222e+01
4.187184e+02,6.555574e+01
4.188389e+02,6.561254e+01
4.189594e+02,6.561307e+01
4.190799e+02,6.555132e+01
4.192005e+02,6.544196e+01
4.193210e+02,6.531295e+01
4.194415e+02,6.519204e+01
4.195620e+02,6.509027e+01
4.196826e+02,6.498371e+01
4.198031e+02,6.481976e+01
4.199236e+02,6.453516e+01
4.200442e+02,6.410019e+01
4.201647e+02,6.353572e+01
4.202852e+02,6.290894e+01
4.204058e+02,6.230095e+01
4.205263e+02,6.177818e+01
4.206468e+02,6.137224e+01
4.207673e+02,6.106864e+01
4.208879e+02,6.081797e+01
4.210084e+02,6.055671e+01
4.211289e+02,6.023942e+01
4.212495e+02,5.985618e+01
4.213700e+02,5.944363e+01
4.214905e+02,5.906420e+01
4.216111e+02,5.878328e+01
4.217316e+02,5.863423e+01
4.218521e+02,5.860597e+01
4.219726e+02,5.864595e+01
4.220932e+02,5.868126e+01
4.222137e+02,5.864227e+01
4.223342e+02,5.847909e+01
4.224547e+02,5.817874e+01
4.225753e+02,5.776985e+01
4.226958e+02,5.732256e+01
4.228163e+02,5.693042e+01
4.229369e+02,5.669159e+01
4.230574e+02,5.668081e+01
4.231779e+02,5.692115e+01
4.232985e+02,5.738036e+01
4.234190e+02,5.797594e+01
4.235395e+02,5.860725e+01
4.236600e+02,5.917169e+01
4.237806e+02,5.959205e+01
4.239011e+02,5.983341e+01
4.240216e+02,5.990198e+01
4.241422e+02,5.984066e+01
4.242627e+02,5.970962e+01
4.243832e+02,5.956950e+01
4.245038e+02,5.945885e+01
4.246243e+02,5.938680e+01
4.247448e+02,5.934178e+01
4.248653e+02,5.930693e+01
4.249859e+02,5.927675e+01
4.251064e+02,5.926417e+01
4.252269e+02,5.929302e+01
4.253474e+02,5.938186e+01
4.254680e+02,5.952774e+01
4.255885e+02,5.970158e+01
4.257090e+02,5.985577e+01
4.258296e+02,5.994262e+01
4.259501e+02,5.993555e+01
4.260706e+02,5.983403e+01
4.261912e+02,5.966251e+01
4.263117e+02,5.945490e+01
4.264322e+02,5.924266e+01
4.265527e+02,5.904317e+01
4.266733e+02,5.886121e+01
4.267938e+02,5.869971e+01
4.269143e+02,5.857113e+01
4.270349e+02,5.850082e+01
4.271554e+02,5.852421e+01
4.272759e+02,5.866732e+01
4.273965e+02,5.893296e+01
4.275170e+02,5.928819e+01
4.276375e+02,5.967294e+01
4.277580e+02,6.001724e+01
4.278786e+02,6.026220e+01
4.279991e+02,6.038432e+01
4.281196e+02,6.039832e+01
4.282401e+02,6.035041e+01
4.283607e+02,6.029420e+01
4.284812e+02,6.027585e+01
4.286017e+02,6.031870e+01
4.287223e+02,6.041967e+01
4.288428e+02,6.055662e+01
4.289633e+02,6.069983e+01
4.290839e+02,6.082357e+01
4.292044e+02,6.091114e+01
4.293249e+02,6.095776e+01
4.294454e+02,6.096996e+01
4.295660e+02,6.096329e+01
4.296865e+02,6.095996e+01
4.298070e+02,6.098296e+01
4.299276e+02,6.105354e+01
4.300481e+02,6.118118e+01
4.301686e+02,6.135928e+01
4.302892e+02,6.156347e+01
4.304097e+02,6.175958e+01
4.305302e+02,6.191296e+01
4.306507e+02,6.200019e+01
4.307713e+02,6.201750e+01
4.308918e+02,6.198015e+01
4.310123e+02,6.191453e+01
4.311328e+02,6.184325e+01
4.312534e+02,6.177865e+01
4.313739e+02,6.171822e+01
4.314944e+02,6.165147e+01
4.316150e+02,6.156963e+01
4.317355e+02,6.147382e+01
4.318560e+02,6.137633e+01
4.319766e+02,6.129413e+01
4.320971e+02,6.123853e+01
4.322176e+02,6.120727e+01
4.323381e+02,6.118413e+01
4.324587e+02,6.114874e+01
4.325792e+02,6.108913e+01
4.326997e+02,6.101182e+01
4.328203e+02,6.094317e+01
4.329408e+02,6.091867e+01
4.330613e+02,6.096868e+01
4.331819e+02,6.109993e+01
4.333024e+02,6.129070e+01
4.334229e+02,6.149414e+01
4.335434e+02,6.165792e+01
4.336640e+02,6.173568e+01
4.337845e+02,6.170281e+01
4.339050e+02,6.156186e+01
4.340255e+02,6.134018e+01
4.341461e+02,6.108166e+01
4.342666e+02,6.083303e+01
4.343871e+02,6.064004e+01
4.345077e+02,6.053926e+01
4.346282e+02,6.055316e+01
4.347487e+02,6.068887e+01
4.348693e+02,6.093183e+01
4.349898e+02,6.124604e+01
4.351103e+02,6.157545e+01
4.352308e+02,6.186121e+01
4.353514e+02,6.205816e+01
4.354719e+02,6.214604e+01
4.355924e+02,6.213628e+01
4.357130e+02,6.206470e+01
4.358335e+02,6.197963e+01
4.359540e+02,6.192109e+01
4.360746e+02,6.190940e+01
4.361951e+02,6.193903e+01
4.363156e+02,6.198596e+01
4.364361e+02,6.202167e+01
4.365567e+02,6.202933e+01
4.366772e+02,6.201019e+01
4.367977e+02,6.197698e+01
4.369182e+02,6.194107e+01
4.370388e+02,6.190279e+01
4.371593e+02,6.185011e+01
4.372798e+02,6.176692e+01
4.374004e+02,6.164638e+01
4.375209e+02,6.150060e+01
4.376414e+02,6.136216e+01
4.377620e+02,6.127274e+01
4.378825e+02,6.126784e+01
4.380030e+02,6.135651e+01
4.381235e+02,6.151580e+01
4.382441e+02,6.169607e+01
4.383646e+02,6.184357e+01
4.384851e+02,6.191873e+01
4.386057e+02,6.191053e+01
4.387262e+02,6.183713e+01
4.388467e+02,6.173541e+01
4.389673e+02,6.164144e+01
4.390878e+02,6.157290e+01
4.392083e+02,6.152507e+01
4.393288e+02,6.147565e+01
4.394494e+02,6.140008e+01
4.395699e+02,6.128376e+01
4.396904e+02,6.113113e+01
4.398109e+02,6.096271e+01
4.399315e+02,6.080826e+01
4.400520e+02,6.069318e+01
4.401725e+02,6.062977e+01
4.402931e+02,6.061612e+01
4.404136e+02,6.063991e+01
4.405341e+02,6.068513e+01
4.406547e+02,6.073820e+01
4.407752e+02,6.079213e+01
4.408957e+02,6.084604e+01
4.410162e+02,6.090252e+01
4.411368e+02,6.096533e+01
4.412573e+02,6.103694e+01
4.413778e+02,6.111756e+01
4.414984e+02,6.120411e+01
4.416189e+02,6.128894e+01
4.417394e+02,6.135989e+01
4.418600e+02,6.140349e+01
4.419805e+02,6.140749e+01
4.421010e+02,6.136827e+01
4.422215e+02,6.129337e+01
4.423421e+02,6.120221e+01
4.424626e+02,6.111954e+01
4.425831e+02,6.106610e+01
4.427036e+02,6.105295e+01
4.428242e+02,6.107607e+01
4.429447e+02,6.111855e+01
4.430652e+02,6.115469e+01
4.431858e+02,6.115938e+01
4.433063e+02,6.111621e+01
4.434268e+02,6.102057e+01
4.435474e+02,6.088176e+01
4.436679e+02,6.071735e+01
4.437884e+02,6.054804e+01
4.439089e+02,6.038952e+01
4.440295e+02,6.025238e+01
4.441500e+02,6.014213e+01
4.442705e+02,6.006103e+01
4.443911e+02,6.000919e+01
4.445116e+02,5.998439e+01
4.446321e+02,5.998199e+01
4.447527e+02,5.999547e+01
4.448732e+02,6.002008e+01
4.449937e+02,6.005616e+01
4.451142e+02,6.011167e+01
4.452348e+02,6.020005e+01
4.453553e+02,6.033301e+01
4.454758e+02,6.051354e+01
4.455963e+02,6.072886e+01
4.457169e+02,6.095145e+01
4.458374e+02,6.114315e+01
4.459579e+02,6.127023e+01
4.460785e+02,6.131260e+01
4.461990e+02,6.127067e+01
4.463195e+02,6.116331e+01
4.464401e+02,6.102013e+01
4.465606e+02,6.087105e+01
4.466811e+02,6.073515e+01
4.468016e+02,6.062074e+01
4.469222e+02,6.052898e+01
4.470427e+02,6.046113e+01
4.471632e+02,6.042423e+01
4.472838e+02,6.043000e+01
4.474043e+02,6.048838e+01
4.475248e+02,6.059957e+01
4.476454e+02,6.074892e+01
4.477659e+02,6.090975e+01
4.478864e+02,6.104767e+01
4.480069e+02,6.113411e+01
4.481275e+02,6.115527e+01
4.482480e+02,6.111487e+01
4.483685e+02,6.103100e+01
4.484890e+02,6.092686e+01
4.486096e+02,6.082245e+01
4.487301e+02,6.072810e+01
4.488506e+02,6.064637e+01
4.489712e+02,6.057732e+01
4.490917e+02,6.052304e+01
4.492122e+02,6.049003e+01
4.493328e+02,6.048581e+01
4.494533e+02,6.051357e+01
4.495738e+02,6.056768e+01
4.496943e+02,6.063361e+01
4.498149e+02,6.069397e+01
4.499354e+02,6.073391e+01
4.500559e+02,6.074836e+01
4.501765e+02,6.074355e+01
4.502970e+02,6.073422e+01
4.504175e+02,6.073669e+01
4.505381e+02,6.076151e+01
4.506586e+02,6.081159e+01
4.507791e+02,6.088222e+01
4.508996e+02,6.096515e+01
4.510202e+02,6.105062e+01
4.511407e+02,6.112994e+01
4.512612e+02,6.119316e+01
4.513817e+02,6.122813e+01
4.515023e+02,6.122247e+01
4.516228e+02,6.116743e+01
4.517433e+02,6.106500e+01
4.518639e+02,6.093157e+01
4.519844e+02,6.079795e+01
4.521049e+02,6.070201e+01
4.522255e+02,6.067375e+01
4.523460e+02,6.072623e+01
4.524665e+02,6.084571e+01
4.525870e+02,6.099725e+01
4.527076e+02,6.113126e+01
4.528281e+02,6.120444e+01
4.529486e+02,6.119573e+01
4.530692e+02,6.111142e+01
4.531897e+02,6.098080e+01
4.533102e+02,6.084010e+01
4.534308e+02,6.072009e+01
4.535513e+02,6.063401e+01
4.536718e+02,6.057844e+01
4.537923e+02,6.053986e+01
4.539129e+02,6.050412e+01
4.540334e+02,6.046293e+01
4.541539e+02,6.041585e+01
4.542744e+02,6.036781e+01
4.543950e+02,6.032484e+01
4.545155e+02,6.029086e+01
4.546360e+02,6.026694e+01
4.547566e+02,6.025444e+01
4.548771e+02,6.025643e+01
4.549976e+02,6.027808e+01
4.551182e+02,6.032379e+01
4.552387e+02,6.039311e+01
4.553592e+02,6.047841e+01
4.554797e+02,6.056590e+01
4.556003e+02,6.064094e+01
4.557208e+02,6.069602e+01
4.558413e+02,6.073439e+01
4.559619e+02,6.077071e+01
