WaveNumber, LightSlowSlow
3.999158e+02,0.000000e+00
4.000363e+02,7.442558e+01
4.001569e+02,7.524163e+01
4.002774e+02,7.539467e+01
4.003979e+02,7.491380e+01
4.005184e+02,7.401069e+01
4.006390e+02,7.295555e+01
4.007595e+02,7.194003e+01
4.008800e+02,7.104396e+01
4.010005e+02,7.025317e+01
4.011211e+02,6.953324e+01
4.012416e+02,6.888670e+01
4.013622e+02,6.837334e+01
4.014827e+02,6.808765e+01
4.016032e+02,6.811163e+01
4.017237e+02,6.845920e+01
4.018443e+02,6.906233e+01
4.019648e+02,6.977168e+01
4.020853e+02,7.040908e+01
4.022058e+02,7.081793e+01
4.023264e+02,7.093085e+01
4.024469e+02,7.080139e+01
4.025674e+02,7.058799e+01
4.026880e+02,7.048469e+01
4.028085e+02,7.063123e+01
4.029290e+02,7.108257e+01
4.030496e+02,7.177836e+01
4.031701e+02,7.256574e+01
4.032906e+02,7.322945e+01
4.034111e+02,7.357893e+01
4.035317e+02,7.351732e+01
4.036522e+02,7.307151e+01
4.037727e+02,7.237289e+01
4.038932e+02,7.159175e+01
4.040138e+02,7.089104e+01
4.041343e+02,7.036349e+01
4.042549e+02,7.001527e+01
4.043754e+02,6.976950e+01
4.044959e+02,6.951524e+01
4.046164e+02,6.915115e+01
4.047370e+02,6.864590e+01
4.048575e+02,6.805731e+01
4.049780e+02,6.750955e+01
4.050985e+02,6.714841e+01
4.052191e+02,6.707603e+01
4.053396e+02,6.732912e+01
4.054601e+02,6.787116e+01
4.055807e+02,6.862728e+01
4.057012e+02,6.950931e+01
4.058217e+02,7.044519e+01
4.059423e+02,7.139219e+01
4.060628e+02,7.231525e+01
4.061833e+02,7.317384e+01
4.063038e+02,7.391643e+01
4.064244e+02,7.447577e+01
4.065449e+02,7.480184e+01
4.066654e+02,7.488896e+01
4.067859e+02,7.479445e+01
4.069065e+02,7.463228e+01
4.070270e+02,7.454850e+01
4.071476e+02,7.467256e+01
4.072681e+02,7.505240e+01
4.073886e+02,7.563184e+01
4.075091e+02,7.624425e+01
4.076297e+02,7.667827e+01
4.077502e+02,7.672953e+01
4.078707e+02,7.627052e+01
4.079912e+02,7.530032e+01
4.081118e+02,7.394817e+01
4.082323e+02,7.243612e+01
4.083528e+02,7.099499e+01
4.084734e+02,6.982391e+01
4.085939e+02,6.903133e+01
4.087144e+02,6.863129e+01
4.088350e+02,6.856991e+01
4.089555e+02,6.875828e+01
4.090760e+02,6.910938e+01
4.091965e+02,6.956189e+01
4.093171e+02,7.009232e+01
4.094376e+02,7.070330e+01
4.095581e+02,7.140509e+01
4.096786e+02,7.218828e+01
4.097992e+02,7.300937e+01
4.099197e+02,7.378922e+01
4.100403e+02,7.444018e+01
4.101608e+02,7.489030e+01
4.102813e+02,7.512068e+01
4.104018e+02,7.517216e+01
4.105224e+02,7.513500e+01
4.106429e+02,7.511552e+01
4.107634e+02,7.519252e+01
4.108839e+02,7.539553e+01
4.110045e+02,7.569177e+01
4.111250e+02,7.600132e+01
4.112455e+02,7.622259e+01
4.113661e+02,7.627753e+01
4.114866e+02,7.614014e+01
4.116071e+02,7.584263e+01
4.117277e+02,7.545746e+01
4.118482e+02,7.506628e+01
4.119687e+02,7.473056e+01
4.120892e+02,7.447288e+01
4.122098e+02,7.427921e+01
4.123303e+02,7.411700e+01
4.124508e+02,7.395702e+01
4.125714e+02,7.378907e+01
4.126919e+02,7.362851e+01
4.128124e+02,7.350687e+01
4.129330e+02,7.346268e+01
4.130535e+02,7.352421e+01
4.131740e+02,7.369802e+01
4.132945e+02,7.397058e+01
4.134151e+02,7.431040e+01
4.135356e+02,7.467568e+01
4.136561e+02,7.501801e+01
4.137766e+02,7.529596e+01
4.138972e+02,7.548483e+01
4.140177e+02,7.558739e+01
4.141382e+02,7.563776e+01
4.142588e+02,7.568909e+01
4.143793e+02,7.580166e+01
4.144998e+02,7.601529e+01
4.146204e+02,7.633231e+01
4.147409e+02,7.671185e+01
4.148614e+02,7.708334e+01
4.149819e+02,7.736591e+01
4.151025e+02,7.749780e+01
4.152230e+02,7.746484e+01
4.153435e+02,7.730515e+01
4.154641e+02,7.710396e+01
4.155846e+02,7.695994e+01
4.157051e+02,7.695888e+01
4.158257e+02,7.713803e+01
4.159462e+02,7.747605e+01
4.160667e+02,7.789192e+01
4.161872e+02,7.826946e+01
4.163078e+02,7.849525e+01
4.164283e+02,7.846900e+01
4.165488e+02,7.813612e+01
4.166693e+02,7.749783e+01
4.167899e+02,7.660945e+01
4.169104e+02,7.556708e+01
4.170309e+02,7.448561e+01
4.171515e+02,7.348664e+01
4.172720e+02,7.266724e+01
4.173925e+02,7.209022e+01
4.175131e+02,7.177070e+01
4.176336e+02,7.166821e+01
4.177541e+02,7.169765e+01
4.178746e+02,7.174833e+01
4.179952e+02,7.172947e+01
4.181157e+02,7.159252e+01
4.182362e+02,7.135315e+01
4.183568e+02,7.108401e+01
4.184773e+02,7.089912e+01
4.185978e+02,7.090726e+01
4.187184e+02,7.116009e+01
4.188389e+02,7.164178e+01
4.189594e+02,7.227985e+01
4.190799e+02,7.298820e+01
4.192005e+02,7.368939e+01
4.193210e+02,7.432374e+01
4.194415e+02,7.483942e+01
4.195620e+02,7.517699e+01
4.196826e+02,7.527971e+01
4.198031e+02,7.511641e+01
4.199236e+02,7.470971e+01
4.200442e+02,7.414198e+01
4.201647e+02,7.353139e+01
4.202852e+02,7.299566e+01
4.204058e+02,7.261125e+01
4.205263e+02,7.240710e+01
4.206468e+02,7.236794e+01
4.207673e+02,7.244632e+01
4.208879e+02,7.257906e+01
4.210084e+02,7.270724e+01
4.211289e+02,7.279253e+01
4.212495e+02,7.281856e+01
4.213700e+02,7.278937e+01
4.214905e+02,7.271708e+01
4.216111e+02,7.261018e+01
4.217316e+02,7.246793e+01
4.218521e+02,7.228343e+01
4.219726e+02,7.204836e+01
4.220932e+02,7.176113e+01
4.222137e+02,7.142784e+01
4.223342e+02,7.106364e+01
4.224547e+02,7.068732e+01
4.225753e+02,7.032056e+01
4.226958e+02,6.998772e+01
4.228163e+02,6.971495e+01
4.229369e+02,6.952757e+01
4.230574e+02,6.944466e+01
4.231779e+02,6.946623e+01
4.232985e+02,6.956829e+01
4.234190e+02,6.970467e+01
4.235395e+02,6.982339e+01
4.236600e+02,6.988097e+01
4.237806e+02,6.986230e+01
4.239011e+02,6.978718e+01
4.240216e+02,6.970808e+01
4.241422e+02,6.969214e+01
4.242627e+02,6.979166e+01
4.243832e+02,7.002479e+01
4.245038e+02,7.035819e+01
4.246243e+02,7.071727e+01
4.247448e+02,7.100524e+01
4.248653e+02,7.114491e+01
4.249859e+02,7.110254e+01
4.251064e+02,7.090125e+01
4.252269e+02,7.060964e+01
4.253474e+02,7.031568e+01
4.254680e+02,7.009627e+01
4.255885e+02,6.998758e+01
4.257090e+02,6.998280e+01
4.258296e+02,7.004258e+01
4.259501e+02,7.012047e+01
4.260706e+02,7.017632e+01
4.261912e+02,7.019142e+01
4.263117e+02,7.017038e+01
4.264322e+02,7.013675e+01
4.265527e+02,7.012468e+01
4.266733e+02,7.016910e+01
4.267938e+02,7.030225e+01
4.269143e+02,7.054464e+01
4.270349e+02,7.090028e+01
4.271554e+02,7.135122e+01
4.272759e+02,7.185493e+01
4.273965e+02,7.235210e+01
4.275170e+02,7.276994e+01
4.276375e+02,7.304666e+01
4.277580e+02,7.314640e+01
4.278786e+02,7.306715e+01
4.279991e+02,7.284092e+01
4.281196e+02,7.252370e+01
4.282401e+02,7.217913e+01
4.283607e+02,7.185805e+01
4.284812e+02,7.159508e+01
4.286017e+02,7.140600e+01
4.287223e+02,7.129221e+01
4.288428e+02,7.124890e+01
4.289633e+02,7.126961e+01
4.290839e+02,7.134650e+01
4.292044e+02,7.147007e+01
4.293249e+02,7.162692e+01
4.294454e+02,7.180309e+01
4.295660e+02,7.198572e+01
4.296865e+02,7.216817e+01
4.298070e+02,7.234870e+01
4.299276e+02,7.252789e+01
4.300481e+02,7.270171e+01
4.301686e+02,7.285691e+01
4.302892e+02,7.297116e+01
