WaveNumber,DarkFastFast,DarkSlowFast,DarkFastSlow,DarkSlowSlow,LiteFastFast,LiteSlowFast,LiteFastSlow,LiteSlowSlow
399.9158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400.0363,63.74821,52.98353,61.61591,60.48308,64.48294,56.6381,73.1308,74.42558
400.1569,62.59614,51.98943,61.67427,60.0208,63.04417,58.51716,73.91779,75.24163
400.2774,61.78994,52.07903,62.29738,59.85807,61.54817,60.30185,74.27415,75.39467
400.3979,61.43786,53.36253,63.43441,60.00406,60.32308,61.73318,74.12888,74.9138
400.5184,61.60338,55.66277,64.86967,60.4337,59.67119,62.62205,73.54765,74.01069
400.639,62.25865,58.53344,66.27139,61.07671,59.74718,62.90152,72.68661,72.95555
400.7595,63.28923,61.44351,67.30623,61.84176,60.53956,62.60919,71.70766,71.94003
400.88,64.52762,63.89433,67.70866,62.63298,61.91072,61.85075,70.73622,71.04396
401.0005,65.8087,65.56954,67.36815,63.37807,63.64977,60.77712,69.84657,70.25317
401.1211,67.00108,66.35759,66.33975,64.02853,65.51612,59.57193,69.08148,69.53324
401.2416,68.01132,66.32274,64.83385,64.55175,67.23882,58.45299,68.48196,68.8867
401.3622,68.79301,65.6559,63.14844,64.92593,68.58173,57.62439,68.08347,68.37334
401.4827,69.32581,64.60178,61.57632,65.13264,69.38872,57.23169,67.90638,68.08765
401.6032,69.59875,63.39496,60.33627,65.1591,69.61452,57.33556,67.94125,68.11163
401.7237,69.59174,62.18803,59.50354,65.00294,69.34169,57.89564,68.14297,68.4592
401.8443,69.27067,61.05909,59.04074,64.68518,68.74699,58.79573,68.43197,69.06233
401.9648,68.601,60.03228,58.83699,64.25769,68.06131,59.86227,68.70977,69.77168
402.0853,67.57906,59.10476,58.77554,63.79949,67.48414,60.90781,68.88152,70.40908
402.2058,66.25584,58.2725,58.76433,63.4068,67.14275,61.74358,68.8814,70.81793
402.3264,64.75496,57.53511,58.75459,63.15928,67.03231,62.21954,68.69074,70.93085
402.4469,63.235,56.88791,58.73255,63.08375,67.02914,62.26835,68.34618,70.80139
402.5674,61.863,56.32292,58.70136,63.14164,66.93773,61.91864,67.92272,70.58799
402.688,60.76744,55.83178,58.65972,63.23552,66.58453,61.28356,67.50854,70.48469
402.8085,60.02252,55.41771,58.59945,63.25399,65.89049,60.51242,67.16703,70.63123
402.929,59.66004,55.10994,58.51328,63.10258,64.88863,59.76722,66.93637,71.08257
403.0496,59.68273,54.96035,58.40565,62.74272,63.71236,59.18017,66.8213,71.77836
403.1701,60.06975,55.02197,58.29682,62.2081,62.53921,58.81993,66.79986,72.56574
403.2906,60.77406,55.33383,58.22016,61.60102,61.55283,58.68625,66.83184,73.22945
403.4111,61.71777,55.89671,58.20384,61.05923,60.86824,58.70667,66.87693,73.57893
403.5317,62.80693,56.67365,58.25954,60.70449,60.50343,58.7818,66.9113,73.51732
403.6522,63.92751,57.60365,58.37709,60.61902,60.39769,58.83176,66.94076,73.07151
403.7727,64.96871,58.62256,58.53013,60.81386,60.45635,58.84416,66.99855,72.37289
403.8932,65.83455,59.66946,58.69333,61.23829,60.59736,58.87572,67.13058,71.59175
