Taste_01,Taste_02,Taste_03,Taste_04,Taste_05,Taste_06,Taste_07,Taste_08,Taste_09,Taste_10,Taste_11,Taste_12,Taste_13,Taste_14,Taste_15,Taste_16,Taste_17,Taste_18,Taste_19,Taste_20,Taste_21,Taste_22,Taste_23,Taste_24,Taste_25,Taste_26,Taste_27,Taste_28,Taste_29,Taste_30,Taste_31,Taste_32,Taste_33,Taste_34,Taste_35,Taste_36,Taste_37,Taste_38,Taste_39,Taste_40,Taste_41,Taste_42,Taste_43,Taste_44,Taste_45,Taste_46,Taste_47,Taste_48,Taste_49,Taste_50,Taste_51,Taste_52,Taste_53,Taste_54,Taste_55,Taste_56,Taste_57,Taste_58,Taste_59,Taste_60,Taste_61,Taste_62,Taste_63,Taste_64,Taste_65,Taste_66,Taste_67,Taste_68,Taste_69,Taste_70,Taste_71,Taste_72,Taste_73,Taste_74,Taste_75,Taste_76,Taste_77,Taste_78,Taste_79,Taste_80
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,1.0,2.0,3.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,4.0
3.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,5.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,5.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0
2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,1.0,5.0,2.0,3.0,1.0,4.0,2.0,5.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,5.0,2.0,3.0
2.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,5.0,1.0,4.0,3.0,3.0,4.0,2.0,4.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
4.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,4.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,4.0,3.0
4.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,5.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0
3.0,4.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0
4.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,4.0,5.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,5.0,4.0,2.0,4.0,5.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0
4.0,1.0,2.0,3.0,2.5,1.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,5.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0
